link,titulo,endereco,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites, imobiliaria,data_coleta,imobiliaria
https://gonzagaimoveis.com.br/imovel/92172001/apartamento-3-quartos-vera-cruz-hauer-curitiba/,Apartamento 3 Quartos Hauer 86m²,"Rua Alcino Guanabara, 2100, Hauer - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 550,00","IPTU R$ 67,32",3,1.0,86m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/91428003/apartamento-1-quarto-residencial-jordania-–-xxxi-cajuru-curitiba/,Apartamento 1 Quarto Cajuru 27m²,"Rua Jordânia, 859, Cajuru - Curitiba/Pr",Aluguel,"R$ 880,00","Condomínio R$ 230,00","IPTU R$ 31,99",1,0.0,27m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15271003/apartamento-3-quartos-guabirotuba-curitiba/,Apartamento 3 Quartos Guabirotuba 162m²,"Avenida Senador Salgado Filho, 961, Guabirotuba - Curitiba/Pr",Aluguel,"R$ 2.400,00","Condomínio R$ 100,00","IPTU R$ 166,20",3,1.0,162m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/09302001/apartamento-3-quartos-villa-real-(cj.-resid.)-uberaba-curitiba/,Apartamento 3 Quartos Uberaba 64m²,"Rua José Rietmeyer, 471, Uberaba - Curitiba/Pr",Aluguel,"R$ 1.480,00","Condomínio R$ 400,00","IPTU R$ 54,11",3,0.0,64m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/08281001/apartamento-2-quartos-aete-(cj.res.)-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 46m²,"Rua Senador Accioly Filho, 622, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 750,00","Condomínio R$ 470,00","IPTU R$ 39,11",2,0.0,46m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/10424002/apartamento-2-quartos-posiville-iii-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 52m²,"Rua Casemiro Augusto Rodacki, 341, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 1.650,00","Condomínio R$ 450,00","IPTU R$ 81,00",2,1.0,52m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16270001/apartamento-2-quartos-residencial-atenas-i-i-–-condominio-v-i-i-cidade-industrial-curitiba/,Apartamento 2 Quartos Cidade Industrial 45m²,"Rua Deputado Gabriel Sampaio, 465, Cidade Industrial - Curitiba/Pr",Aluguel,"R$ 900,00","Condomínio R$ 250,00","IPTU R$ 25,28",2,0.0,45m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/49095001/apartamento-3-quartos-itaguaçu-agua-verde-curitiba/,Apartamento 3 Quartos Agua Verde 80m²,"Rua Castro Alves, 594, Agua Verde - Curitiba/Pr",Aluguel,"R$ 2.000,00","Condomínio R$ 550,00","IPTU R$ 82,50",3,1.0,80m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92087001/apartamento-2-quartos-zamoner-agua-verde-curitiba/,Apartamento 2 Quartos Agua Verde 77m²,"Rua Brigadeiro Franco, 2663, Agua Verde - Curitiba/Pr",Aluguel,"R$ 1.850,00","Condomínio R$ 422,79","IPTU R$ 69,90",2,1.0,77m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14999001/apartamento-2-quartos-anthurium-agua-verde-curitiba/,Apartamento 2 Quartos Agua Verde 61m²,"Rua Professor Luiz Cesar, 837, Agua Verde - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 720,00","IPTU R$ 77,20",2,1.0,61m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14396001/apartamento-5-quartos-monreale-agua-verde-curitiba/,Apartamento 5 Quartos Agua Verde 182m²,"Rua Bento Viana, 1140, Agua Verde - Curitiba/Pr",Aluguel,"R$ 4.500,00","Condomínio R$ 1.400,00","IPTU R$ 286,73",5,2.0,182m²,2.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/00135005/apartamento-4-quartos-cidade-das-flores-agua-verde-curitiba/,Apartamento 4 Quartos Agua Verde 202m²,"Avenida Republica Argentina, 755, Agua Verde - Curitiba/Pr",Aluguel,"R$ 2.800,00","Condomínio R$ 1.000,00","IPTU R$ 181,28",4,1.0,202m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/02029002/apartamento-3-quartos-mont-blanc-residence-agua-verde-curitiba/,Apartamento 3 Quartos Agua Verde 105m²,"Avenida Presidente Getulio Vargas, 3084, Agua Verde - Curitiba/Pr",Aluguel,"R$ 3.200,00","Condomínio R$ 1.000,00","IPTU R$ 150,62",3,1.0,105m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/08265001/apartamento-3-quartos-flamboyant-(conjunto-residencial)-agua-verde-curitiba/,Apartamento 3 Quartos Agua Verde 117m²,"Avenida Presidente Kennedy, 1503, Agua Verde - Curitiba/Pr",Aluguel,"R$ 1.800,00","Condomínio R$ 850,00","IPTU R$ 89,37",3,1.0,117m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14297001/apartamento-2-quartos-olga-tufi-agua-verde-curitiba/,Apartamento 2 Quartos Água Verde 57m²,"Avenida Silva Jardim, 1762, Água Verde - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 650,00","IPTU R$ 85,96",2,1.0,57m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16604001/apartamento-2-quartos-auckland-devon-port-agua-verde-curitiba/,Apartamento 2 Quartos Água Verde 100m²,"Avenida Silva Jardim, 2522, Água Verde - Curitiba/Pr",Aluguel,"R$ 3.450,00","Condomínio R$ 860,06","IPTU R$ 296,43",2,1.0,100m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16603001/apartamento-3-quartos-edificio-vitoria-regia-agua-verde-curitiba/,Apartamento 3 Quartos Água Verde 110m²,"Rua Amazonas, 818, Água Verde - Curitiba/Pr",Aluguel,"R$ 2.600,00","Condomínio R$ 630,00","IPTU R$ 150,00",3,2.0,110m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92154003/apartamento-3-quartos-barigui-campo-comprido-curitiba/,Apartamento 3 Quartos Campo Comprido 50m²,"Rua Luiz Ronaldo Canalli, 3294, Campo Comprido - Curitiba/Pr",Aluguel,"R$ 850,00","Condomínio R$ 420,00","IPTU R$ 25,28",3,1.0,50m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16608001/apartamento-1-quarto-residence-ville-de-france-campo-comprido-curitiba/,Apartamento 1 Quarto Campo Comprido 65m²,"Rua Lourenço Bizinelli, 249, Campo Comprido - Curitiba/Pr",Aluguel,"R$ 2.450,00","Condomínio R$ 471,53","IPTU R$ 78,83",1,2.0,65m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/23813001/apartamento-3-quartos-fit-marumbi-guaira-curitiba/,Apartamento 3 Quartos Guaira 68m²,"Rua Assis Figueiredo, 1315, Guaira - Curitiba/Pr",Aluguel,"R$ 1.950,00","Condomínio R$ 450,00","IPTU R$ 104,69",3,1.0,68m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15489002/apartamento-3-quartos-vila-bela-1-novo-mundo-curitiba/,Apartamento 3 Quartos Novo Mundo 73m²,"Rua Deputado Waldemiro Pedroso, 1063, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.650,00","Condomínio R$ 545,00","IPTU R$ 0,00",3,1.0,73m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/92315001/apartamento-2-quartos-roma-novo-mundo-curitiba/,Apartamento 2 Quartos Novo Mundo 51m²,"Rua Jose Palu, 285, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.400,00","Condomínio R$ 450,00","IPTU R$ 52,77",2,1.0,51m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/10145001/apartamento-3-quartos-nho–quim-novo-mundo-curitiba/,Apartamento 3 Quartos Novo Mundo 78m²,"Rua Luiz Leopoldo Landal, 100, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 590,00","IPTU R$ 84,02",3,1.0,78m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16027001/apartamento-2-quartos-jose-ferroni-novo-mundo-curitiba/,Apartamento 2 Quartos Novo Mundo 45m²,"Rua João Bonat, 860, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.300,00","Condomínio R$ 550,00","IPTU R$ 39,36",2,1.0,45m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16607001/apartamento-2-quartos-residencial-canelli-novo-mundo-curitiba/,Apartamento 2 Quartos Novo Mundo 42m²,"Rua Carolina Castelli, 694, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.350,00","Condomínio R$ 482,77","IPTU R$ 39,98",2,1.0,42m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15224001/apartamento-2-quartos-vila-bela-l-novo-mundo-curitiba/,Apartamento 2 Quartos Novo Mundo 67m²,"Rua Deputado Waldemiro Pedroso, 1063, Novo Mundo - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 700,00","IPTU R$ 59,79",2,1.0,67m²,1.0,,2023-11-05,gonzaga_imoveis
