site,titulo,link,data_coleta,endereco,catacteristicas_imovel,detalhes_condominio,bairro,cidade,aluguel,condominio,seguro_incendio,iptu,area,quartos,suites,banheiros,vagas_garagem,mobiliado,piscina,academia,sacada,churrasqueira,salao_de_festas
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-alto-da-gloria-curitiba/id/63501525/code/06157.001,2024-02-19,"Rua Paraguassu, 479 - Alto da Glória - Curitiba","DESCONTO ESPECIAL - NOS 6 PRIMEIROS MESES R$ 2.600,00 E APÓS VOLTA AO VALOR DE R$ 2.750,00   Apartamento de 3 quartos sendo 1 suíte. Banheiro social com box. Sala para 2 ambientes com sacada e churrasqueira, piso laminado. Cozinha com armários planejados e pia em granito. Área de serviço com tanque. Aquecedor. 1 vaga de garagem dupla n° 02   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.","Salão de festas, Elevador, Garagem Coberta",Alto da Glória,Curitiba,2600,618.51,0,191.2,143,3,1,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento com 1 quarto,https://cilar.com.br/alugar/apartamento-com-1-quarto-centro-curitiba/id/55131806/code/10006.007,2024-02-19,"Rua Desembargador Motta, 2350 - Centro - Curitiba","1 suíte com hidromassagem e box blindex, sacada, sala, cozinha com armário e pia, lavanderia, piso laminado e 1 vaga de garagem Nº 82.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.  ","Playground, Elevador, Garagem Coberta",Centro,Curitiba,2500,751.63,0,118.0,99,1,1,0,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento com 2 quartos,https://cilar.com.br/alugar/apartamento-com-2-quartos-bigorrilho-curitiba/id/63861413/code/00228.001,2024-02-19,"Rua Euclides da Cunha, 1387 - Bigorrilho - Curitiba","1 quarto com armário e cama de casal com colchão; 1 quarto com armário e cama de solteiro; 1 sala para 2 ambientes com sofá de 4 lugares, 1 painel, rack e mesa com 4 cadeiras; Sanca de gesso; 1 cozinha com armário, pia com tampo em granito, 1 fogão e 1 geladeira; 1 lavanderia com maquina de lavar roupa; 1 vaga de garagem nº 74.   Imediações: em frente ao supermercado Muffato, farmácias, bancos e etc.   Condomínio oferece: piscina aquecida, sauna, academia, salão de festas, salão de jogos, cancha esportiva, churrasqueiras externas, playground e portaria 24 horas   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Churrasqueira, Playground, Quadra de esportes, Elevador, Portaria 24h, Garagem Coberta",Bigorrilho,Curitiba,2490,589.69,0,95.2,102,2,0,1,0,Não,Sim,Sim,Não,Sim,Sim
Cilar,Apartamento com 1 quarto,https://cilar.com.br/alugar/apartamento-com-1-quarto-centro-curitiba/id/62954386/code/00236.001,2024-02-19,"Rua Amintas de Barros, 240 - Centro - Curitiba","Apartamento de 1 quarto e 1 vaga de garagem. Semi mobiliado no Edifício HUB.     Sala para 2 ambientes, sacada com churrasqueira, cozinha com armários  1 dormitório com armário  Banheiro com armário, box tipo blindex  1 vaga de estacionamento n° 179     Condomínio Club com portaria 24 horas, sistema de câmeras, biometria de acesso, piscina externa, piscina interna(aquecida), sauna, academia, espaço office, brinquedoteca, Playground, salões de festas, churrasqueiras, salões de jogos, lavanderia.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Churrasqueira, Playground, Elevador, Segurança monitorada, Portaria 24h, Garagem Coberta",Centro,Curitiba,2450,880.04,0,924.01,93,1,0,1,0,Sim,Sim,Sim,Sim,Sim,Sim
Cilar,Apartamento no 2º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-2-andar-com-1-quarto-batel-curitiba/id/52401971/code/10006.034,2024-02-19,"Avenida do Batel, 1162 - Batel - Curitiba","Apartamento tipo flat 1 sala com sacada, com sofá, mesa 2 cadeiras, cortina, estante com tv, ar condicionado, 1 quarto com cama box casal, armário, 1 cozinha, 1 bwc social com box blindex, 1 vaga de garagem.  Entrada Somente com cartão magnético direto na recepção.","Piscina, Academia, Salão de festas, Churrasqueira, Elevador, Garagem Coberta",Batel,Curitiba,2200,1062.03,0,158.0,94,1,0,1,0,Não,Sim,Sim,Sim,Sim,Sim
Cilar,Apartamento no 1º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-1-andar-com-1-quarto-batel-curitiba/id/52395864/code/10006.030,2024-02-19,"Avenida do Batel, 1162 - Batel - Curitiba","Apartamento tipo flat 1 sala com sacada, com sofá, mesa 2 cadeiras, cortina, estante com tv, ar condicionado, 1 quarto com cama box casal, armário, 1 cozinha, 1 bwc social com box blindex, 1 vaga de garagem.  Entrada Somente com cartão magnético direto na recepção.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Churrasqueira, Elevador, Garagem Coberta",Batel,Curitiba,2200,1062.03,0,158.0,94,1,0,1,0,Não,Sim,Sim,Sim,Sim,Sim
Cilar,Apartamento no 1º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-1-andar-com-1-quarto-batel-curitiba/id/52395865/code/10006.029,2024-02-19,"Avenida do Batel, 1162 - Batel - Curitiba","Apartamento tipo flat 1 sala com sacada, com sofá, mesa 2 cadeiras, cortina, estante com tv, ar condicionado, 1 quarto com cama box casal, armário, 1 cozinha, 1 bwc social com box blindex, 1 vaga de garagem.  Entrada Somente com cartão magnético direto na recepção.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Piscina, Academia, Salão de festas, Churrasqueira, Elevador, Garagem Coberta",Batel,Curitiba,2200,1062.03,0,158.0,94,1,0,1,0,Não,Sim,Sim,Sim,Sim,Sim
Cilar,Apartamento no 4º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-4-andar-com-2-quartos-centro-curitiba/id/64031097/code/05735.002,2024-02-19,"Avenida Sete de Setembro, 3302 - Centro - Curitiba","2 quartos; 1 sala; 1 banheiro social; 1 cozinha; 1 área de serviço.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.","Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta",Centro,Curitiba,2200,836.08,0,107.0,99,2,0,1,0,Não,Não,Não,Não,Não,Sim
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-agua-verde-curitiba/id/63977411/code/00178.001,2024-02-19,"Rua Professor Luiz César, 881 - Água Verde - Curitiba","Apartamento 3 quartos sendo 1 suíte; Banheiro bom box tipo blindex; Sala para 2 ambientes; Sacada com churrasqueira; Cozinha com armários planejados; 1 vaga de garagem livre demarcada nº 05.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel.   Seguro incêndio a contratar.",Garagem Coberta,Água Verde,Curitiba,2200,488.51,0,164.0,106,3,1,1,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento no 4º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-4-andar-com-3-quartos-vila-izabel-curitiba/id/62582235/code/07506.001,2024-02-19,"Rua Guararapes, 1391 - Vila Izabel - Curitiba","Apartamento de 3 quartos sendo 1 suíte . Banheiro social com box blindex, sala para 2 ambientes com sacada. Cozinha com pia. armários, bancada passa prato e mesa com tampo de vidro, lavanderia. Piso laminado. 1 vaga de garagem.   A imobiliária e os proprietários de imóvel tem um contrato e, por isso, os valores e ofertas, bem como a disponibilidade de imóveis de venda e locação, podem ser alterados sem aviso prévio. Da mesma forma, taxas de condomínio, de mudança e outros encargos e normas, variam de condomínio para condomínio. A recomendação é que a imobiliária e o condomínio sejam consultados em caso de interesse no imóvel. ","Salão de festas, Elevador, Garagem Coberta",Vila Izabel,Curitiba,2200,686.43,0,106.0,87,3,1,1,1,Não,Não,Não,Sim,Não,Sim
