site,titulo,link,data_coleta,endereco,catacteristicas_imovel,detalhes_condominio,bairro,cidade,aluguel,condominio,seguro_incendio,iptu,area,quartos,suites,banheiros,vagas_garagem,mobiliado,piscina,academia,sacada,churrasqueira,salao_de_festas
Cilar,Apartamento no 3º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-3-andar-com-3-quartos-ahu-curitiba/id/63764382/code/AP0215,2024-02-19,"Rua Fausto Nascimento Bittencourt, 236 - Ahú - Curitiba","Em localização privilegiada no Ahú!!   Apto com 3 dormitórios com armários sendo 1 suite com blindex, wc soc c/ arm e box, ampla sala 2 ambientes em desnível, com lareira, lavabo, cozinha com armários, área de serviço, dep. empregada c/ bwc, 2 vagas de garagem.  Cond com portaria diurna, elevador semi-panorâmico, salão de festas com churrasqueira e playground, mais 3 vaga descoberta.  A 2 quadras da Justiça Federal e Centro Judiciário (Av Anita Garibaldi)  Consulte-nos e agende sua visita!",Garagem Coberta,Ahú,Curitiba,4500,1100.0,0,321.75,240,3,1,4,0,Não,Não,Não,Não,Não,Não
Cilar,Apartamento no 4º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-4-andar-com-3-quartos-bigorrilho-curitiba/id/50300605/code/12579.001,2024-02-19,"R ALFERES ANGELO SAMPAIO, 2782 - BIGORRILHO - Curitiba","02 Salas com estante  - Cozinha completa com armários, fogão de 6 bocas, exautor, lavadora de louças  - Banheiro Privativo: Com com box, Armario com tampo em granito  - Suite com Closet com armários - OBS: Banheira desativada   - Dependência de empregada com armários  - lavabo  - OBS:  banheira retirada    - Prazo de locaçao: 30 meses  - Seguro de Incendio: A fazer  - Visitas Acompanhadas","Elevador, Garagem Coberta",BIGORRILHO,Curitiba,4500,1160.0,0,272.15,260,3,1,1,0,Não,Não,Não,Não,Não,Não
Cilar,Apartamento no 7º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-7-andar-com-4-quartos-ecoville-curitiba/id/61395188/code/AP0141,2024-02-19,"Rua Elvira Harkot Ramina, 75 - Ecoville - Curitiba","Apartamento para locação com 4 dormitórios, 1 suíte e 2 vagas de garagem  no Ecoville.   Residencial Ecoville Tower.   Ótimo empreendimento de alto padrão, ensolarado, boa localização, maravilhosa vista para o Parque Barigui.   Próximo ao Park Shopping Barigui, Carrefour e centro comercial na Rua Paulo Gorski.   Condomínio com portaria 24 horas, quadra poliesportiva, play ground, salão de jogos, salão de festas, circuito de câmeras e aquecimento a gás.   Somente um apartamento por andar, todos os vidros são com isolamento acústico, persianas embutidas nas janelas dos dormitórios, sendo dividido em:   - Quatro dormitórios, sendo uma suíte com hidro; dois dormitórios com armários.   - Sala de estar para dois ambientes com sacada e vista para o Parque Barigui;  - Sala de jantar com sacada e churrasqueira.   - Lavabo.  - Bwc social com blindex e armários.   - Cozinha com pia e armários.  - Dependência de empregada com bwc.   - Duas vagas de garagem com box.   *Todos os valores estão sujeitos à alteração sem prévio aviso.   Valor do Aluguel Bruto: R$ 5.400,00  Bonificação para pagamento em dia (até o dia 05): R$ 900,00  Valor do Aluguel Líquido: R$ 4.500,00 mais taxas de:  Condomínio Aproximadamente: R$ 1.200,00 mensal  IPTU: R$ 416,05  FCI: R$ 225,00  Seguro incêndio: R$ 45,67 / mensal (Incluso assistência residencial Porto Seguros).","Espaço gourmet, Garagem Coberta",Ecoville,Curitiba,4500,1200.0,0,416.05,250,4,1,1,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-bigorrilho-curitiba/id/64062840/code/AP0106,2024-02-19,"Rua Padre Anchieta, 1944 - Bigorrilho - Curitiba","Apartamento em andar alto.    Na Rua Padre Anchieta, n° 1944   03 dormitórios sendo 01 suíte   Sala ampla para dois ambientes.   Sacada com janelas em vidro blindex.   Banheiro social com box em vidro.   Cozinha com armário.   Área de serviço    Dependência de empregada.    1 vagas de garagem completa    Apartamento muito bem localizado no bairro Bigorrilho com ampla área de comércio na região, como: Farmácia, supermercado, banco, faculdade.    Condomínio com: Portaria 24 horas. Salão de festas. Sala de jogos. Piscina.   Locação valor bruto: R$4.866,67  (primeiros 30 dias)   Locação: R$4380,00  Condomínio: R$792,17  IPTU: R$188,88  Seguro incêndio: R$45,00  FCI: R$243,33  Pacote locação: R$5.649,38","Elevador, Garagem Coberta",Bigorrilho,Curitiba,4380,792.17,0,188.88,138,3,1,3,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento no 4º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-4-andar-com-3-quartos-boa-vista-curitiba/id/60577093/code/AP0891,2024-02-19,"Rua Coronel Ary Pinho, 80 - Boa Vista - Curitiba","Você encontrou a residência dos seus sonhos! Apresentamos uma excelente cobertura localizada no Boa Vista, ao lado da Rua Fernando de Noronha, cercada por uma variedade de comércios, farmácias e supermercados. Este imóvel exclusivo está situado em um condomínio pequeno de apenas quatro andares, oferecendo segurança e uma estrutura excepcional.   Três quartos espaçosos, sendo duas suítes, garantindo conforto e privacidade.  Armários Embutidos para organização e praticidade no dia a dia.  Cozinha Estilo Americana moderna e funcional, integrada aos demais ambientes.  Sacada com Churrasqueira perfeita para momentos de lazer e confraternização.  Sala de Estar  ambiente aconchegante para reunir familiares e amigos.  Sala de TV  na parte superior, proporcionando um espaço adicional para entretenimento com acesso a parte externa da cobertura.   Duas vagas de Garagens livres e cobertas nºs 14 e 20.   Valor do aluguel bruto: R$ 5375.00  Bonificação para pagamentos em dia: R$ 1075.00  Valor liquido: R$ 4300,00 + taxas.   Agente sua visita!",Garagem Coberta,Boa Vista,Curitiba,4300,750.0,0,199.0,132,3,2,1,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento no 6º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-6-andar-com-4-quartos-sao-francisco-curitiba/id/60438394/code/AP0881,2024-02-19,"Rua Paula Gomes, 871 - São Francisco - Curitiba","APARTAMENTO DUPLEX MOBILIADO  - SÃO FRANCISCO / MERCÊS  Duplex 100% mobiliado, conforme fotos, com face norte e leste.  - 4 dormitórios ( 1 suíte ), sala de estar com sacada, sala de jantar, bw social com box,  estar íntimo, cozinha completa com armários e eletrodomésticos, lavanderia, dependência de empregada.  - Churrasqueira a carvão integrada a sala de jogos.  - Apenas dois apartamento por andar.  - Localizado na Rua Paula Gomes, entre as Ruas Senador Saraiva e Portugal, no Bairro São Francisco;  - Paralelas as Ruas Inácio Lustosa e  Presidente Carlos Cavalcanti;  - Condomínio R$ 800,00 + gás + água.   O PRESENTE VALOR PODERÁ SOFRER ALTERAÇÃO SEM AVISO PRÉVIO.   FAZEMOS PARTE DE UMA DAS MAIORES REDES IMOBILIÁRIA DO BRASIL - REDE UNA ( Rede Bee e Rede Imóveis).","Horta comunitária, Garagem Coberta",São Francisco,Curitiba,4300,800.0,0,262.0,238,4,1,4,0,Sim,Não,Não,Sim,Não,Não
Cilar,Apartamento no 6º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-6-andar-com-4-quartos-merces-curitiba/id/58053566/code/AD0007,2024-02-19,"Rua Paula Gomes, 871 - Mercês - Curitiba","APARTAMENTO DUPLEX MOBILIADO  - SÃO FRANCISCO / MERCÊS  Duplex 100% mobiliado, conforme fotos, com face norte e leste.  - 4 dormitórios ( 1 suíte ), sala de estar com sacada, sala de jantar, bw social com box,  estar íntimo, cozinha completa com armários e eletrodomésticos, lavanderia, dependência de empregada.  - Churrasqueira a carvão integrada a sala de jogos.  - Apenas dois apartamento por andar.  - Localizado na Rua Paula Gomes, entre as Ruas Senador Saraiva e Portugal, no Bairro São Francisco;  - Paralelas as Ruas Inácio Lustosa e  Presidente Carlos Cavalcanti;  - Condomínio R$ 800,00 + gás + água.   O PRESENTE VALOR PODERÁ SOFRER ALTERAÇÃO SEM AVISO PRÉVIO.   FAZEMOS PARTE DE UMA DAS MAIORES REDES IMOBILIÁRIA DO BRASIL - REDE UNA ( Rede Bee e Rede Imóveis).","Horta comunitária, Garagem Coberta",Mercês,Curitiba,4300,800.0,0,262.0,238,4,1,4,0,Sim,Não,Não,Sim,Não,Não
Cilar,Apartamento no 12º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-12-andar-com-3-quartos-agua-verde-curitiba/id/62803545/code/40555.001,2024-02-19,"AV IGUACU, 2666 - AGUA VERDE - Curitiba","Excelente localização, próximo a clubes, mercados, farmácia, praça do Japão -  Sala com lareira, sacada - dormitórios e cozinha com armários   Condomínio com quadra poliesportiva - salão de jogos - sala de ginástica - brinquedoteca - piscina adulto e infantil.    Vaga de garagem dupla   ","Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta",AGUA VERDE,Curitiba,4250,970.0,0,257.17,185,3,1,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 2º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-2-andar-com-4-quartos-reboucas-curitiba/id/59941556/code/00601.003,2024-02-19,"Avenida Presidente Getúlio Vargas, 1781 - Rebouças - Curitiba","Apartamento Rebouças com 4 quarto de 309m² - Edifício Itatiba   Detalhes: Amplo apartamento, contendo:   Sala com sacada para 2 ambientes;  Cozinha com armários;  Lavabo;  4 quartos sendo 1 suíte;  Área de serviço.   Possui 2 vagas de garagens.    Condomínio conta com salão de festas, Sala de jogos e churrasqueira.   Imediações: Imóvel localizado no Rebouças, entre as ruas Coronel Dulcídio e Buenos Aires e próximo ao Estádio Joaquim Américo Guimarães.   *Valores e informações sujeitos a alterações*   Ligue agora e agende sua visita! ","Salão de festas, Churrasqueira, Elevador, Garagem Coberta",Rebouças,Curitiba,4250,804.28,0,304.35,309,4,1,1,0,Não,Não,Não,Sim,Sim,Sim
Cilar,Apartamento no 7º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-7-andar-com-3-quartos-batel-curitiba/id/61532062/code/02661.005,2024-02-19,"Rua Castro Alves, 621 - Batel - Curitiba","Ótimo apartamento no Batel.  Face norte, posição frente e o edifício possui grande recuo em ambas as faces.   - Ampla sala para 02 ambientes com sacada,  - Cozinha com armários - Área de serviço com lavanderia e dependência de empregada.  - 03 quartos, sendo 01 suíte,  armários na suite e 01 dos dormitórios - Banheiro social,  - 02 vaga de garagem livre 52 e 54  O condomínio dispõe de salão de festas, espaço gourmet, portaria 24 horas    Condomínio 5/11/23 - Taxa R$694,17 + FR R$55,53+ FP R$68,34+ Sanepar (total consumido À.F + Á.Q): R$ 276,98 + Custo gás para Aquecer água quente: R$ 192,07 + Taxa extra: R$ 800,00  Total: R$ 2.087,09   O LOCATÁRIO fica responsável pelo pagamento das taxas para realização das vistorias de Entrada e de Saída quando da desocupação do imóvel, sendo tais custos fixados no valor correspondente a 15% (quinze por cento) do valor atualizado da locação, com o valor mínimo estabelecido de R$ 200,00 (duzentos reais) para imóveis não mobiliados. Imóveis semi-mobiliado / mobiliado taxa mínima 18 %.   ****Taxas valores aproximados****","Salão de festas, Elevador, Espaço gourmet, Portaria 24h, Garagem Coberta",Batel,Curitiba,4200,2087.09,0,274.01,188,3,1,1,0,Sim,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 6º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-6-andar-com-2-quartos-cabral-curitiba/id/62585534/code/AP0181,2024-02-19,"Rua Professor Arthur Loyola, 387 - Cabral - Curitiba","Seja bem-vindo ao seu novo lar! Este apartamento recém-construído está disponível para aluguel e oferece uma experiência de vida única no Cabral, Curitiba.   Características Principais:  Andar alto, garantindo uma vista deslumbrante da região.  Um apartamento por andar, proporcionando privacidade e tranquilidade.  Varanda espaçosa para momentos relaxantes e confraternizações ao ar livre.  Cozinha equipada com armários planejados, proporcionando praticidade e organização.  Duas suítes aconchegantes e espaçosas.   Uma vaga de garagem para garantir a segurança e comodidade do seu veículo.  Localização Privilegiada:  O imóvel está situado em uma rua sem saída na tranquila e arborizada Rua Professor Arthur Loyola. A localização é um destaque, estando ao lado do Campus da UFPR, o que facilita o acesso a diversas opções culturais, acadêmicas e de lazer.   Observações:  O imóvel está em fase de constituição de condominio, aonde as despesas condominiais serão feitas atráves de rateios dividido com as demais unidades.   Valor aproximado do anúncio podendo ser alterado sem aviso prévio.    Entre em contato conosco para agendar uma visita e conhecer pessoalmente este incrível apartamento.",Garagem Coberta,Cabral,Curitiba,4200,200.0,0,,103,2,1,0,0,Não,Não,Não,Não,Não,Não
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-juveve-curitiba/id/64047601/code/211117,2024-02-19,"R Euzebio da Motta, 961 - Juvevê - Curitiba","Imediações: JUVEVE   Detalhes: EXCELENTE APARTAMENTO DE 03 DORMITÓRIOS EM LOCALIZAÇÃO NOBRE DA CIDADE!
  03 DORMITÓRIOS COM ARMÁRIOS SENDO 02 COM SACADA E 01 SUÍTE! HALL DE CIRCULAÇÃO COM ESCRIVANINHA E PRATELEIRAS. SALA AMPLA COM LAREIRA, MESA DE JANTAR, CRISTALEIRA E UM LAVABO COM BELO ACABAMENTO. SACADA ENVIDRAÇADA COM CHURRASQUEIRA. EXCELENTE COZINHA COM BASTANTE ARMÁRIOS PLANEJADOS, BANCADA EM GRANITO, FOGÃO/FORNO E GELADEIRA DUPLEX! LAVANDERIA COM TANQUE, 02 VARAIS, MÁQUINA DE LAVAR. QUARTO DE SERVIÇO TRANSFORMADO EM UMA ÓTIMA DESPENSA COM ARMÁRIOS PLANEJADOS. BWC SOCIAL E PRIVATIVO COM ARMÁRIO PLANEJADO, TAMPO EM GRANITO E BOX EM VIDRO TEMPERADO. BWC DE SERVIÇO COM MAIS ARMÁRIOS PLANEJADOS! IMÓVEL COM AQUECIMENTO À GÁS. PINTURA NOVA. 02 PORTAS DE ENTRADA. CORTINAS. LUMINÁRIAS NOVAS. 02 VAGAS DE GARAGEM BOAS E DESIMPEDIDAS: 06 E 16 NO SUBSOLO.
  CONDOMÍNO PEGASO COM ELEVADOR, ZELADORA. O EDIFÍCIO POSSUI POUCOS ANDARES E POUCAS UNIDADES POR ANDAR. TEM ELEVADOR. 
  - CONDOMÍNIO VENCIMENTO 10/01/2024: R$ 1.064,86, DOS QUAIS: 
  DESPESA DO INQUILINO: R$ 810,65 
  DESPESA DO PROPRIETÁRIO (REEMBOLSÁVEL): R$ 254,21
  ** TODAS AS VISITAS SÃO AGENDADAS COM ANTECEDÊNCIA E ACOMPANHADAS POR REPRESENTANTE DA IMOBILIÁRIA! **
  *** VALORES DO IPTU 2024 AINDA NÃO DISPONÍVEIS ***  ***** Atualizado em 19/02/2024 09:14 *****","Elevador, Garagem Coberta",Juvevê,Curitiba,4200,810.65,0,,194,3,1,3,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-mossungue-curitiba/id/62527764/code/40125.005,2024-02-19,"R JOSE IZIDORO BIAZETTO, 845 - MOSSUNGUE - Curitiba","ARMÁRIOS DELLANO NA SUITE, COZINHA E BANHEIROS - SALA PARA 02 AMBIENTES, SACADA COM CHURRASQUEIRA - BWC COM BLINDEX - GARAGEM DUPLA   TORRE LIFE - CONDOMÍNIO COM ÓTIMA ÁREA DE LAZER: PLAYGRAUND, SALÃO PARA FESTA INFANTIL E ADULTO COM ESPAÇO GOURMET, PISCINA ADULTO E INFANTIL COBERTAS E AQUECIDAS, QUADRA POLIESPORTIVA, FITNESS, SALA DE JOGOS E PRAÇA COM CHURRASQUEIRA  Bicicletário  Brinquedoteca  Churrasqueira  Guarita  Jardim  Suítes  Lavanderia  Mobiliado  Piscina  Playground  Praça  ","Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta",MOSSUNGUE,Curitiba,4000,1070.0,0,183.27,201,3,1,1,0,Sim,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 7º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-7-andar-com-4-quartos-batel-curitiba/id/63777372/code/04667.001,2024-02-19,"R PASTEUR, 413 - BATEL - Curitiba","Pontos de Referência: Proxim : Praça Oswaldo Cruz,  Shopping Curitiba, Supermercado Nacional, Hospital Pequeno Principe   Excelente apartamento em ótima localização.   Contendo:   - 03 Salas.  - Lavabo.  - Cozinha.  - Área de Serviço.  - 04 Quartos.  - 03 Banheiros.  - 02 vagas de garagem (dupla)   Condomínio com:   - Portaria 24 horas.  - Interfone.  - Elevador.  - Quadra Poliesportiva.  - Playground.  - Salão de Festas.  - Jardim. ","Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta",BATEL,Curitiba,4000,1475.0,0,234.39,201,4,0,3,0,Não,Não,Não,Não,Não,Sim
Cilar,Apartamento no 16º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-16-andar-com-3-quartos-campo-comprido-curitiba/id/61482148/code/ANG%201297,2024-02-19,"Rua Professor Pedro Viriato P. Souza, 5175 - Campo Comprido - Curitiba","Apartamento todo mobiliado com excelente acabamento, pronto para morar.  Para você que quer morar com qualidade e segurança.   Edifício Garden Parigot.  Apartamento com 03 dormitórios sendo 01 suíte, sala, sacada, cozinha, área de serviço, banheiro social.  Todos os ambientes com móveis planejados e acabamento perfeito, aproveitando o máximo de cada cômodo.  Os detalhes, você mesmo pode conferir na visita ao imóvel, você vai se surpreender.   O condomínio ainda oferece ótima infraestrutura com salão de festas, espaço gourmet, salão de jogos, brinquedoteca, piscina, quadra de esportes, quadra de tênis, disponível uma vaga de garagem.   Utensílios e objetos de decoração não fazem parte da locação, assim como a adega e o frigobar.   O LOCATÁRIO fica responsável pelo pagamento das taxas para realização das vistorias de Entrada e de Saída quando da desocupação do imóvel, sendo tais custos fixados no valor correspondente a 15% (quinze por cento) do valor atualizado da locação, com o valor mínimo estabelecido de R$ 200,00 (duzentos reais) para imóveis não mobiliados. Imóveis semi-mobiliado / mobiliado taxa mínima 18 %.  *TAXAS E VALORES APROXIMADOS*   Taxa Condominial - R$ 351,82  Água M3: 602,3500(Nov) -595,5900(Out)= 6,7600 - R$ 95,51  Água - Área Comum - R$ 42,91  Fundo de Reserva  - R$ 35,18  ________________________________________________________________  ***AVISO IMPORTANTE***  O imóvel desta divulgação, será desocupado pelo proprietário somente na segunda quinzena de fevereiro.","Piscina, Salão de festas, Churrasqueira, Playground, Quadra de esportes, Elevador, Espaço gourmet, Segurança monitorada, Portaria 24h, Garagem Coberta",Campo Comprido,Curitiba,4000,525.42,0,65.79,107,3,1,1,0,Sim,Sim,Não,Sim,Sim,Sim
Cilar,Apartamento no 13º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-13-andar-com-3-quartos-bigorrilho-curitiba/id/53740594/code/AP0397,2024-02-19,"Rua Dona Alice Tibiriçá, 629 - Bigorrilho - Curitiba","Excelente apartamento contendo 3 dormitórios sendo uma 1 suíte com hidromassagem, todos os quartos contém móveis planejados, sala para 2 ambientes com sofá, poltrona, sala de jantar com mesa lustre, cozinha com móveis planejado, área de serviço com móveis planejado, sacada com churrasqueira e 1 vaga coberta.    Condomínio oferece, piscina, academia, salão de festa e portaria.     Localizado próximo da Martim Afonso, R: Padre Anchieta, 1 min da Academia Sports, Academia Blue Fit, diversos comércios como salão de beleza, Big Festa, Mercado Condor, diversos bancos como Bradesco, Caixa, Banco do Brasil, Itaú, lotéricas, ponto de ônibus, Terminal do Campina do Siqueira, posto de gasolina, 7 min do Jardim Barigui, Havan, 10 min do Shopping Curitiba e Estação entre outros comércios.    Valores de locação:  Valor líquido do aluguel: R$ 3.900,00  Valor da bonificação (a partir do segundo mês para pagamento em dia): R$ 688,23  Valor Bruto: R$ 4.588,23   Taxas  FCI: R$ 195,00  IPTU: R$ 170,95  Seguro Incêndio (valor aproximado sujeito a alteração): R$ 650,00 em 4 parcelas de R$ 162,50  Vistoria: R$ 300,00  Condomínio:  R$1.233,91 incluso (Taxa de condomínio, modernização Elevadores, Gás consumo, Sanepar, provisão 13°)     Valores aproximados nos primeiros meses, sujeito a alteração:  1° Mês: R$ 6.650,59  2° ao 4° mês: R$ 5,662,36  5° mês: R$5.499,86",Garagem Coberta,Bigorrilho,Curitiba,3900,1233.9,0,170.95,0,3,1,1,0,Não,Não,Não,Sim,Não,Não
Cilar,Apartamento no 9º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-9-andar-com-4-quartos-bigorrilho-curitiba/id/58231712/code/04047.001,2024-02-19,"R BRUNO FILGUEIRA, 2054 - BIGORRILHO - Curitiba","Pontos de Referência:  Parque Barigui, Terminal Campina do Siqueira e Unidade de Saúde Campina do Siqueira.   Nada melhor do ter um cantinho pra chamar de lar, não é mesmo?  Este apartamento no Bigorrilho que fica pertinho do Parque Barigui é o lugar ideal!      Além disso o condomínio ainda possui salão de festa e playground.   Contendo:   - Sala ampla com lareira para dois ambientes.  - 02 Sacadas.  - Lavabo.  - 04 Quartos com armários, sendo duas suítes.  - Banheiro social e suítes com pia e tampo em granito, box de vidro e uma suíte com hidromassagem.  - Copa com churrasqueira.  - Cozinha com pia em balcão e tampo em granito, balcão, armários, cooktop, coifa.  - Área de serviço com tanque em louça.  - Dependências completas, com quarto e banheiro de serviço.  - Vaga de garagem dupla. ","Salão de festas, Playground, Elevador, Garagem Coberta",BIGORRILHO,Curitiba,3900,2010.0,0,438.41,264,4,2,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento com 4 quartos,https://cilar.com.br/alugar/apartamento-com-4-quartos-juveve-curitiba/id/60209716/code/00735.008,2024-02-19,"R MANOEL EUFRASIO, 403 - JUVEVE - Curitiba","EXCELENTE APARTAMENTO COM 4 DORMITÓRIOS, * 3 VAGAS DE GARAGEM - Suite com hidromassagem - Dormitórios e cozinha com armários, tampos em granito - banheiros com Blindex - dorm e bwc de empregada - copa - sacada - lavabo - sala para dois ambientes    - Ótima vista panorâmica - piso laminado   * GARAGEM: DUPLA, UMA DELAS FICA APERTADA DEVIDO A COLUNA DO PRÉDIO, ENTÃO FOI DISPONIBILIZADO OUTRA VAGA INDIVIDUAL, TOTALIZANDO 3 VAGAS   - Condominio: Portaria 24 horas; salão de festa; churrasqueira; salão de jogos; quadra poliesportiva","Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta",JUVEVE,Curitiba,3800,1490.0,0,,250,4,1,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 20º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-20-andar-com-2-quartos-agua-verde-curitiba/id/64426054/code/AP1067,2024-02-19,"Rua Travessa Rafael Francisco Greca, 173 - Água Verde - Curitiba","Apartamento com 2 quartos, 2 banheiros sendo 1 suíte, 1 vaga de garagem. Próximo ao  Supermercado Angeloni do bairro Água Verde. Condomínio Clube com 3 piscinas, sauna, academia, brinquedoteca, playground, salão de jogos, salão de festas, churrasqueiras, salão gourmet, minimercado e portaria 24 horas.   Aluguel: R$ 4.100,00  Condomínio: R$ 520,00  IPTU: R$ 98,00 (será atualizado com o valor deste ano)   FAZEMOS PARTE DE UMA DAS MAIORES REDES IMOBILIÁRIA DO BRASIL - REDE UNA ( Rede Bee e Rede Imóveis).   IMÓVEL PODERÁ SOFRER ALTERAÇÃO DE PREÇO SEM PRÉVIO AVISO.","Piscina, Garagem Coberta",Água Verde,Curitiba,3800,,0,98.0,103,2,1,2,0,Não,Sim,Não,Não,Não,Não
Cilar,Apartamento no 19º andar com 4 quartos,https://cilar.com.br/alugar/apartamento-no-19-andar-com-4-quartos-agua-verde-curitiba/id/63607375/code/00192.001,2024-02-19,"R CARNEIRO LOBO, 243 - AGUA VERDE - Curitiba","Pontos de Referência: Avenida República Argentina, Colégio Estadual Professor Lysimaco da Costa e Praça do Japão.   Você merece morar em um apartamento aconchegante no Água Verde, pertinho da Praça do Japão!   Com duas salas amplas, lavabo, quatro quartos sendo dois suítes e um deles com closet, três banheiros, um deles com banheira, cozinha com balcão e armário, área de serviço, quarto de serviço e ainda duas vagas de garagem.   Além disso ainda tem playground, quadra poliesportiva e um salão de festas para você comemorar com sua família e amigos.   Sensacional não é mesmo?  Tá esperando o que pra chamar a gente no Whatsapp e agendar sua visita?   Vem conhecer!    Contendo:   - 02 Salas amplas.  - Lavabo.  - 04 Quartos sendo dois suítes (um com closet) .  - 03 Banheiros sendo dois suítes, ambos com pias com tampos em granito e um com banheira.  - Cozinha com pia com tampo em granito, balcão e armário.  - Área de serviço com tanque.  - Quarto de serviço.  - 02 Vagas de garagem.     ","Salão de festas, Playground, Elevador, Garagem Coberta",AGUA VERDE,Curitiba,3800,1668.0,0,464.69,285,4,2,1,0,Não,Não,Não,Não,Não,Sim
Cilar,Apartamento no 6º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-6-andar-com-1-quarto-vila-izabel-curitiba/id/63709037/code/04713.005,2024-02-19,"R PEDRO COLLERE, 963 - VILA IZABEL - Curitiba","Pontos de Referência: Colégio Estadual Gabriela Mistral, Panvel Farmácias e Ladika Panificadora * Mercearia.    Excelente apartamento em ótima localização.    Contendo:   - Sala com tv, papel parede, ar condicionado,  painel tv, armários planejados, mesa fixa com cadeira, luminárias, sofá couro 3 lugares, mesa canto, passa prato com banqueta, cortina e papel de parede.  - Cozinha com geladeira, coifa, pia com tampo em granito, fogão eletrico, micro-ondas e forno.  - Banheiro suíte com espelho, ducha gás, pia e box vidro.  - Quarto suíte com cama de casal box, cabeceira, lustres, luminárias, ar condicionado, tv, armários planejados, balcão, cortina e papel de parede.  - Área serviço com tanque, armários, balcão e maquina lava e seca.  - Sacada com varal,  luminária, e porta de vidro de correr.  - Interfone.  - Vaga de garagem subsolo.   Condomínio com:   - Portaria remota.  - Salão de festas.  - Salão jogos integrados.  - Academia.   ","Salão de festas, Elevador, Garagem Coberta",VILA IZABEL,Curitiba,3800,508.0,0,25.85,62,1,0,1,0,Não,Não,Não,Sim,Não,Sim
Cilar,Apartamento no 5º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-5-andar-com-1-quarto-vila-izabel-curitiba/id/63709038/code/04713.004,2024-02-19,"R PEDRO COLLERE, 963 - VILA IZABEL - Curitiba","Pontos de Referência: Colégio Estadual Gabriela Mistral, Panvel Farmácias e Ladika Panificadora * Mercearia.    Excelente apartamento em ótima localização.    Contendo:   - Sala conjugada com painel, tv, ar condicionado, rack, sofá em tecido, almofadas, armários planejados, iluminados, mesa fixa com cadeiras e nichos.  - Cozinha com geladeira, coifa, pia com tampo em granitos, fogão eletrico, micro-ondas e forno.  - Banheiro suíte com espelho, ducha gás, pia e box vidro.  - Quarto suíte com cama de casal box, cabeceira, armário planejado, balcão, luminária e  papel parede.  - Área serviço com tanque, armários, balcão e maquina lava e seca.  - Sacada com varal e porta de vidro de correr.  - Interfone.  -Vaga de garagem livre subsolo.   Condomínio com:   - Portaria remota.  - Salão de festas.  - Elevador.  - Salão jogos.  - Academia.  ","Salão de festas, Elevador, Garagem Coberta",VILA IZABEL,Curitiba,3800,407.0,0,73.65,74,1,0,1,0,Não,Não,Não,Sim,Não,Sim
