titulo,link,endereco,detalhes,aluguel,condominio,iptu,catacteristicas_imovel,detalhes_condominio,mais_detalhes_imovel
Apartamento no 16º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-16-andar-com-3-quartos-bigorrilho-curitiba/id/61622192/code/01380.001,"R GENERAL ARISTIDES ATHAYDE JUNIOR, 702 - BIGORRILHO - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '130,36m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1', 'Andar', '16']","AluguelR$ 3.150,00","Condominio  R$ 928,00","IPTU  R$ 163,35","- ED. LANCASTER - Lindo apartamento, amplo, ensolarado, com linda vista para o bosque da Copel.   São 3 dormitório com armários, sendo 1 suíte.   Cozinha com armários.  Área de serviço com mais uma dependência e banheiro.  Prédio todo reformado, portaria atualizada, salões de festas reformados.   Uma vaga de garagem - nº 22 - 2º subsolo.   Valor do aluguel bruto R$ 3.705,00 - bonificação para pagamento em dia, no valor de R$ 555,00 (bonificação válida a partir do 2° mês cheio de locação). Aluguel líquido R$ 3.150,00 + taxas (Condomínio + IPTU + seguro incêndio + FCI de 6% (seis por cento) sobre o aluguel líquido). *Verificar com o consultor o valor final da locação.*   *Valores sujeitos a alteração sem aviso prévio.   **Consultar-solicitar cópia do boleto do condomínio para análise.   Obs.: Imagens meramente ilustrativas. ","Salão de festas, Portaria 24h, Garagem Coberta","Andar: 16, Ano de construção: 30, Aptos por andar: 4, Área privativa: 97.08, Área total: 130.36, BWC Social: 1, BWC Social: 2, BWC Social: 2, Central de gás: sim, Condomínio fechado: sim, Copa: 1, Cozinhas: 1, Edifício: Lancaster, Entre as ruas: RUA PADRE AGOSTINHO e RUA PADRE ANCHIETA, Face do imóvel: Norte/Leste, IPTU: 163.35, Interfone: sim, Portaria 24h: 1, Quartos: 3, Quartos: 3, Sacadas: 1, Salão de festas: 1, Salas: 1, Suítes: 1, Suítes: 1, Vagas de garagem: 1, Valor condomínio: 928.00"
Apartamento no 4º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-4-andar-com-2-quartos-cristo-rei-curitiba/id/64071249/code/02774.014,"Avenida Marechal Humberto de Alencar Castelo Branco,, 1122 - Cristo Rei - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '117,27m2', 'Quartos', '2', 'Banheiros', '1', 'Suítes', '1', 'Andar', '4']","AluguelR$ 3.100,00","Condominio  R$ 720,10","IPTU  R$ 202,23","Apartamento novíssimo e completo, pronto para morar, venha conhecer o melhor do Cristo Rei. É o seu momento de morar bem, Edifício Evolve.   Apartamento com sala ampla, sacada com churrasqueira, 02 dormitórios com armários, sendo 01 suíte com closet, cozinha com armários e área de serviço conjugada.  Disponível 01 vaga de garagem – Nº 57 2º subsolo.   Condomínio oferece: Cross training, Poker room, Chef’s table, Praça acesso, Recreação descoberta, Meeting, Working space, Deck descoberto, Indoor pool, Spa, Sauna.    O LOCATÁRIO fica responsável pelo pagamento das taxas para realização das vistorias de Entrada e de Saída quando da desocupação do imóvel, sendo tais custos fixados no valor correspondente a 15% (quinze por cento) do valor atualizado da locação, com o valor mínimo estabelecido de R$ 200,00 (duzentos reais) para imóveis não mobiliados. Imóveis semi-mobiliado / mobiliado taxa mínima 18 %.   **Taxas com valores aproximados***  Cond. Venc.: 10/01/2024 Taxa de condomínio R$ 594,56 + Gás consumo coletivo R$ 66,08+Fundo de Reservar R$ 59,46 + Consumo Individual Água m³  = Total R$ 720,10 ","Piscina, Salão de festas, Churrasqueira, Playground, Elevador, Portaria 24h, Garagem Coberta","Andar: 04, Aptos por andar: 8, Aquecimento: sim, Área de serviço: 1, Área privativa: 67.78, Área total: 117.27, BWC Social: 1, Bonificação: 775,00, Central de gás: sim, Chaveiro: 036, Churrasqueira coletiva: 1, Churrasqueira priv: sim, Churrasqueiras: 1, Conservação: ÓTIMA, Cozinhas: 1, Edifício: EVOLVE, Elevadores: 2, Esquadrias: ALUMÍNIO, FCI: 186,00, IPTU: 202.23, Índice reajuste: IPC, Local garagem: 2o subsolo, Núm de pavimentos: 7, Piscina: 1, Playground: 1, Portaria 24h: 1, Prazo de contrato: 30 MESES, Quartos: 2, Reajuste: ANUAL, Revestimento externo: PASTILHA, Sacadas: 1, Salão de festas: 1, Salão de jogos: 1, Salas: 1, Suítes: 1, Tipo de garagem: Livre, Tipo de piso: LAMINADO, Vagas de garagem: 1, Valor bruto: 3.875,00, Valor condomínio: 720.10"
Apartamento no 1º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-2-quartos-centro-curitiba/id/63019712/code/61037001,"Marechal Deodoro, 1340 - Centro - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '120,00m2', 'Quartos', '2', 'Banheiros', '1', 'Suítes', '1', 'Andar', '1']","AluguelR$ 3.100,00","Condominio  R$ 650,00",,"Imediações: UFPR   Detalhes: EDIFÍCIO BERKELEY!!!  Excelente apartamento na região central de Curitiba, nas proximidades da Universidade Federal do Paraná. O imóvel possui 02 dormitórios, sendo 01 suíte, bwc social, sala ampla para 02 ambientes, sacada, cozinha e área de serviço.O condomínio possui piscina, salão de festas, salão de jogos, academia, playground e portaria 24 horas. 01 Vaga de Garagem.  TCI/FCI : 5% - Seguro incêndio : consultar.  Informações e valores descritos sujeitos a alteração  Ligue agora e agende sua visita!","Salão de festas, Playground, Garagem Coberta","Andar: 1, Ano de construção: 2014, Aptos por andar: 6, Área privativa: 83.60, Área total: 120.00, BWC Social: 1, Central de gás: sim, Condomínio: Berkeley Residencial, Conservação: Otimo, Núm de pavimentos: 9, Playground: 1, Quartos: 2, Quitado: sim, Sacadas: 1, Salão de festas: 1, Salão de jogos: 1, Suítes: 1, Vagas de garagem: 1, Valor condomínio: 650.00"
Apartamento com 2 quartos,https://cilar.com.br/alugar/apartamento-com-2-quartos-batel-curitiba/id/60261351/code/210722,"R Francisco Rocha, 412 - Batel - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '132,00m2', 'Quartos', '2', 'Banheiros', '1', 'Suítes', '1']","AluguelR$ 3.100,00","Condominio  R$ 585,00","IPTU  R$ 77,79","Imediações: SHOPPING PATIO BATEL   Detalhes: APARTAMENTO SEMI MOBILIADO COM FACE NOROESTE - CONTENDO 02 QUARTOS SENDO 01 COM ARMÁRIO, 01 SUÍTE, BANHEIRO PRIVATIVO COM  BOX DE VIDRO, ARMÁRIO EMBUTIDO TAMPO EM GRANITO E ESPELHO, BANHEIRO SOCIAL COM BOX DE VIDRO, ARMÁRIO EMBUTIDO TAMPO EM GRANITO E ESPELHO, SALA AMPLA, COZINHA COM ARMÁRIOS EMBUTIDOS, TAMPO EM GRANITO, COOKTOP INDUÇÃO, ÁREA DE SERVIÇO ANEXA A COZINHA COM TANQUE. 
  AQUECIMENTO ELÉTRICO. 
  PINTURA NOVA, PISO TACO E PARTE PORCELANATO.
  TERRAÇO COM CHURRASQUEIRA
  VAGA N° 13.
  CONDOMÍNIO VENCIMENTO 10/11/2023 R$ 640,00 REFERÊNCIA
  FUNDO DE RESERVA R$ 55,00
  TRANSVERSAL AV DO BATEL
  **CONTRATO DE 12 MESES**
  * VISITAS AGENDADAS E ACOMPANHADAS *  ***** Atualizado em 14/02/2024 09:05 *****",Garagem Coberta,"Ano de construção: 57 Ano(s), Área privativa: 88, Área total: 132, BWC Social: 1, Conservação: Otimo, Cozinhas: 1, Edifício: JAQUELINE DELISIE, IPTU: 77.79, Placa no local: sim, Quartos: 2, Sala estar íntima: 1, Suítes: 1, Tipo de garagem: Livre, Vagas de garagem: 1, Valor condomínio: 585.00"
Apartamento no 33º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-33-andar-com-2-quartos-centro-civico-curitiba/id/59867375/code/00681.063,"Avenida Cândido de Abreu, 70 - Centro Cívico - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '99,64m2', 'Quartos', '2', 'Banheiros', '1', 'Suítes', '1', 'Andar', '33']","AluguelR$ 3.100,00","Condominio  R$ 1.560,03","IPTU  R$ 189,22","Apartamento no Centro Cívico com 2 quartos de 99,64m²- Edifício Centro Cívico   Detalhes: Apartamento amplo contendo:   2 dormitórios com armários e cama box, sendo um suíte.   Sala completa com sofá cama de casal, ar condicionado, mesa, cadeiras, smartTV e WiFi;  Cozinha com armários, cooktop, depurador e microondas;  Possui eletroportáteis e utensílios de cozinha, como liquidificador, cafeteira, sanduicheira, panelas e louça;  Banheiro social e da suite com box e armários;  Todo o apartamento possui piso em porcelanato e luminárias.    Possui 1 vaga de garagem (nº26)   Imediações: O apartamento se localiza em um dos maiores centros comerciais de Curitiba. Entre o Passeio Público, o Circulo Militar e o Shopping Mueller. Uma excelente oportunidade de moradia com segurança, praticidade e economia.   O condomínio oferece portaria 24 horas e estrutura de lazer completa, sendo espaço gourmet, salão de festas com terraço descoberto, piscina coberta e climatizada, espaço fitness, spa com vista de 360º da cidade, lavanderia, salão de jogos e cinema.   Observação: O uso de algumas áreas do edifício são pagas tais como: lavanderia, espaço gourmet, e outros. Conforme o regimento interno anexo página 15 e 23. Consultar valores.   *Valores e informações sujeitos a alterações*   Ligue agora e agende sua visita!","Piscina, Academia, Salão de festas, Churrasqueira, Playground, Elevador, Espaço gourmet, Segurança monitorada, Portaria 24h, Garagem Coberta","Água: sim, Andar: 33, Ano de construção: 2014, Aptos por andar: 6, Área privativa: 61.74, Área total: 99.64, BWC Social: 1, Bonificação: 344,44, Churrasqueira coletiva: 1, Condomínio fechado: sim, Cozinha com armários: 1, Cozinhas: 1, Dorms. com armários: sim, Edifício: Centro Cívico, Elevadores: 2, Entre as ruas: Inácio Lustosa e Barão de Antonina, Esgoto: sim, Espaço Gourmet: 1, Esquadrias: Alumínio, FCI: 155,00, Fitness: 1, Forro: sim, IPTU: 189.22, Índice reajuste: IGPM, Interfone: sim, Luz: sim, Material: Alvenaria, Mobiliado: 1, Núm de pavimentos: 36, Pavimentação: Asfalto, Piscina: 1, Placa no local: sim, Playground: 1, Portão eletrônico: sim, Portaria 24h: 1, Posição do imóvel: Frente, Prazo de contrato: 30 meses, Quartos: 2, Reajuste: Anual, Revestimento externo: Pintura, SPA: sim, Sacadas: 1, Salão de festas: 1, Salão de jogos: 1, Salas: 1, Sauna: sim, Sistema de CFTV: sim, Sistema de segurança: 1, Suítes: 1, Telefone: sim, Tipo de garagem: Livre, Tipo de piso: Porcelanato, Vagas de garagem: 1, Valor bruto: 3.444,44, Valor condomínio: 1560.03"
Apartamento com 3 quartos,https://cilar.com.br/alugar/apartamento-com-3-quartos-merces-curitiba/id/58581604/code/03902.002,"AV MANOEL RIBAS, 805 - MERCES - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '158,00m2', 'Quartos', '3', 'Banheiros', '1']","AluguelR$ 3.000,00","IPTU  R$ 188,32",,"ÁREA INFORMADA , REFERE-SE A ÁREA TOTAL DO IMÓVEL.   Excelente apartamento em ótima localização, ensolarado, face norte, possibilidade de locação residencial ou comercial, imovél mobiliado, com cortinas, luminárias e ar-condicionado em 02 dormitórios principal, piso taco de madeira, sala com jogo de jantar, mesa retrátil, cadeiras, cristaleira e balção, copa com mesa retrátil e cadeiras, cozinha nova com armários planejado e tampo em granito, contendo fogão a lenha 01 boca, forno elétrico, micro-ondas e geladeira duplex, eletrodomésticos seminovos ; Área de serviço e varanda integrada, fechada com vidro temperad, contendo cortina persiana; 03 dormitórios, sendo um com sofá - cama 3 lugares e estante, 01 dormitório com cama casal, colchão e cômodas, banheiro todo revitalizado, com box de vidro, ármários espelho, ducha higiênica. Imóvel com pressurizador de água automático.Estacionamento não coberto com acesso pelo terreno lateral-fundos, pela Alameda Prudente de Moraes.Agende sua visita.           ",Garagem Coberta,"Aptos por andar: 2, Área privativa: 158.00, Área total: 158.00, BWC Social: 1, Conservação: Bom, Copa: 1, Cozinhas: 1, Entre as ruas: Al. Prudente de Moraes e Brigadeiro Franco, Face do imóvel: Norte, IPTU: 188.32, Interfone: sim, Pavimentação: Asfalto, Posição do imóvel: Frente, Quartos: 3, Salas: 1, Vagas de garagem: 1"
Apartamento no 1º andar com 1 quarto,https://cilar.com.br/alugar/apartamento-no-1-andar-com-1-quarto-vila-izabel-curitiba/id/63709041/code/04713.001,"R PEDRO COLLERE, 963 - VILA IZABEL - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '46,91m2', 'Quartos', '1', 'Banheiros', '1', 'Andar', '1']","AluguelR$ 3.000,00","Condominio  R$ 416,00","IPTU  R$ 47,29","Pontos de Referência: Colégio Estadual Gabriela Mistral, Panvel Farmácias e Ladika Panificadora * Mercearia.   Excelente apartamento em ótima localização.    Contendo:   - Sala conjugada com ar condicionado, tv, painel, nichos, piso porcelanato, Studio fundos, mesa com banquetas, balcão, mesa fixa, sofá de couro, mesa de canto.  - Cozinha com geladeira, fogão eletrico, pia com tampa em granito e micro-ondas,  - Banheiro suíte, com ducha a gás, espelho grande, pia e box vidro.  - Quarto suíte, com nichos, varanda, dormitório planejado, cortina, ar condicionado, luminárias, cama de casal box, cabeceira e papel de parede.  - Área de serviço com maquina lava e seca, tanque inox, armário e balcão.  - Sacada com varal.  - Interfone.   Condomínio com:   - Portaria Remota.  - Salão de festas.  - Salão de jogos.  - Academia.  ","Salão de festas, Elevador","Andar: 1, Aptos por andar: 8, Área privativa: 34.59, Área total: 46.91, BWC Social: 1, Central de gás: sim, Condomínio fechado: sim, Cozinhas: 1, Edifício: HARMONY RESIDENCE, Elevadores: 1, Entre as ruas: RUA VITAL BRASIL e RUA PROFESSOR ARLINDO LOYOLA DE CAMARGO, Face do imóvel: Leste, IPTU: 47.29, Interfone: sim, Mobiliado: 1, Pavimentação: Asfalto, Quartos: 1, Sacadas: 1, Salão de festas: 1, Salas: 1, Valor condomínio: 416.00"
Apartamento no 3º andar com 2 quartos,https://cilar.com.br/alugar/apartamento-no-3-andar-com-2-quartos-santo-inacio-curitiba/id/63921273/code/BG03923001,"Rua Tobias de Macedo Júnior, 1138 - Santo Inácio - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '75,00m2', 'Quartos', '2', 'Banheiros', '1', 'Suítes', '1', 'Andar', '3']","AluguelR$ 3.000,00","Condominio  R$ 560,00","IPTU  R$ 120,00","Belíssimo apartamento semi mobiliado no Barigui Woodland Park Residence composto de:

- Sala para 2 ambientes com sofá retrátil, mesa com tampo em vidro para 6 lugares, rack e painel para TV,
- Cozinha em conceito aberto com armários planejados, geladeira, micro-ondas, fogão 4 bocas e churrasqueira,
- Lavanderia em anexo a cozinha, possui um tanque e máquina de lavar,
- 2 quartos sendo uma suíte com armários e cama box casal, outro com armários e espaço para cama de solteiro,
- Banheiro social com armário, espelho e box em blindex,
- 1 Vaga de garagem coberta N 05,

FCI: R$ 180,00
SEGURO INCÊNDIO: R$ 22.55","Piscina, Academia, Salão de festas, Playground, Elevador, Portaria 24h, Garagem Coberta","Andar: 3, Área privativa: 56, Área total: 75, BWC Social: 1, Churrasqueiras: sim, Condomínio: Barigui Woodland Park Residence, Condomínio fechado: sim, Conservação: Ótimo, Elevadores: 1, Face do imóvel: Leste, Fitness: 1, IPTU: 120, Mobiliado: 1, Piscina: 1, Playground: 1, Portaria 24h: 1, Quartos: 2, Salão de festas: 1, Salão de jogos: 1, Salas: 1, Seguro incêndio: 22.55, Sistema de CFTV: sim, Suítes: 1, Tipo de garagem: Coberta, Vagas de garagem: 1, Valor condomínio: 560"
Apartamento no 5º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-5-andar-com-3-quartos-ecoville-curitiba/id/63992255/code/AP1622,"Professor Pedro Viriato Parigot de Souza, 211 - Ecoville - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '148,00m2', 'Quartos', '3', 'Banheiros', '2', 'Suítes', '1', 'Andar', '5']","AluguelR$ 3.000,00","Condominio  R$ 1.185,00",,"Imediações: Proximo ao Shopping Barigui e Academia   Detalhes: E aí vizinho! Procurando um apartamento semi-mobiliado?  Então, dá uma olhadinha neste aqui, localizado no bairro Ecoville!  Bem iluminado, com 83 m  de área útil, o apartamento é dividido em sala para 2 ambientes com estante e cristaleira, sacada, piso laminado, teto rebaixado em gesso, cozinha com móveis sob medida, 03 dormitórios com armários, sendo 01 suíte, 01 banheiro social com armário e box blindex, aquecimento à gás  e você ainda conta com 2 vagas de garagem cobertas !   No Edificio Parkroyal Ecoville você terá acesso à portaria 24 horas, academia, brinquedoteca, espaço gourmet, salão de festas, playground e piscina!  Com ótima localização á rua Professor Pedro Viriato Parigot de Souza, esquina com Hildebrando Cordeira, à uma quadra da academia Gustavo Borges, 400 metros do Park Shopping Barigui e a poucas quadras do Parque Barigui!   Ficou Interessado? Agende sua visita e conheça pessoalmente!   TAXAS E INFORMAÇÕES IMPORTANTES  IPTU  R$ 156,14  IPTU Vaga: R$ 30,06  SEGURO INCÊNDIO  (á confirmar)  FUNDO DE CONSERVAÇÃO 5% sobre o aluguel mensal (a ser restituído integralmente para o locatário na rescisão do contrato)  VISTORIA 20% sobre o aluguel (cobrado apenas no 1 recibo, referente a vistoria de entrada e no último referente a de saída)   ** Os valores podem sofrer alterações sem aviso prévio",Garagem Coberta,"Andar: 5, Área privativa: 83.53, Área total: 148.00, BWC Social: 2, Condomínio fechado: sim, Conservação: Otimo, Face do imóvel: Leste, Face do terreno: Leste, Núm de pavimentos: 7, Placa no local: sim, Quartos: 3, Quitado: sim, Sacadas: 1, Sala estar íntima: 1, Suítes: 1, Vagas de garagem: 2, Valor condomínio: 1185.00"
Apartamento no 1º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-1-andar-com-3-quartos-alto-da-gloria-curitiba/id/60970197/code/AP0473,"Rua Euzébio da Motta, 769 - Alto da Glória - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '111,00m2', 'Quartos', '3', 'Banheiros', '1', 'Suítes', '1', 'Andar', '1']","AluguelR$ 3.000,00","Condominio  R$ 709,41","IPTU  R$ 145,97","Apartamento com 3 dormitórios para alugar, 91 m² por R$ 3.000 - Alto da Glória - Curitiba/PR   Ótimo apartamento acolhedor, localizado em rua arborizada.  Possui: 01 Sala para 2 ambientes;   01 Sacada fechada;   03 dormitórios, sendo 01 Suíte com armários;  BWC social com box blindex;  01 Cozinha com armários planejados;  Fogão 04 bocas e exaustor;  Piso laminado na cor clara;  1 Vaga de Garagem Coberta nº 15   PACOTE DE LOCAÇÃO.   *Aluguel bruto: R$ 3.750,00  *Bonificação: R$ 750,00  *Aluguel líquido: R$ 3.000,00  *Condomínio: R$ 709,41 (mensal)  *IPTU: R$ 145,97 (10 parcelas)  *FCI (Fundo de conservação do imóvel): R$ 150,00  *Seguro Incêndio: R$ 12,83(12 Parcelas)   *Taxas com valores aproximados*   Entre em contato com nossa equipe, agende uma visita e confira! (41) 3353-2552.  Ref.: 01876-004.   Sobre o Fundo de Reserva e Fundo de Obras referente à taxa de condomínio: Os valores pagos pelo locatário são reembolsáveis.     Valores sujeitos a alterações sem aviso prévio.",Garagem Coberta,"Andar: 1, Área de serviço: 1, Área privativa: 91, Área total: 111, BWC Social: 1, BWC empregada: 1, Condomínio: FLORENCE, Condomínio fechado: 1, Cozinhas: 1, Face do imóvel: Oeste, IPTU: 145.97, Interfone: sim, Mobiliado: 1, Núm de pavimentos: 5, Quartos: 3, Sacadas: 1, Salas: 1, Suítes: 1, Tipo de piso: Laminado, Vagas de garagem: 1, Valor condomínio: 709.41"
Apartamento no 6º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-6-andar-com-3-quartos-portao-curitiba/id/63166428/code/AP0397,"Rua Morretes, 636 - Portão - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '160,00m2', 'Quartos', '3', 'Banheiros', '3', 'Suítes', '1', 'Andar', '6']","AluguelR$ 3.000,00","Condominio  R$ 1.000,00",,"conhecer o seu futuro imóvel.   Visitas somente com horário marcado e com a presença do consultor imobiliário.   Imóvel: 03 quartos sendo 01 suíte (todos com armários), banheiro social e da suíte com box de vidro e armários (suíte com hidromassagem), sala para 03 ambientes com sanca de gesso balcão com espelho e sacada com excelente vista, churrasqueira à gás, cozinha com armários e exaustor, dependência completa de empregada com armários, área de serviço com armários, piso laminado em todo imóvel, face leste e norte, 02 vagas de garagens individual (nº 20 e 21)   Prédio: 07 andares, 4 por andar, portaria das 08:00 as 16:00 (segunda a sábado),  revestimento em pastilha esquadrias de alumínio, elevador, salão de festas completo, churrasqueira a carvão, salão de jogos, play groud e cancha de esportes  Condomínio aproximadamente R$ 1.000,00  + Gás.   Os valores podem ser alterados sem aviso prévio   O LOCATÁRIO fica responsável pelo pagamento das taxas para realização das vistorias de Entrada e de Saída e a Final do imóvel, sendo tais custos fixados no valor correspondente a 15% (quinze por cento) do valor atualizado da locação, com o valor mínimo estabelecido de R$ 200,00 (duzentos reais)  para imóveis não mobiliados. Imóveis semi-mobiliado / mobiliado taxa mínima 18 %.   F.C.I. 6 % (seis por cento) sobre o aluguel líquido",Garagem Coberta,"Andar: 6, Área de serviço: 1, Área privativa: 100, Área total: 160, BWC Social: 3, BWC empregada: 1, Churrasqueiras: 1, Condomínio: Amaporã, Cozinha com armários: 1, Cozinhas: 1, Face do imóvel: Manhã, Interfone: sim, Núm de pavimentos: 7, Portão eletrônico: sim, Quartos: 3, Sacadas: 1, Salas: 1, Suítes: 1, Tipo de piso: Carpete de madeira, Vagas de garagem: 2, Valor condomínio: 1000"
Apartamento no 2º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-2-andar-com-3-quartos-xaxim-curitiba/id/53961970/code/AP0662,"Rua José Rebelato, 87 - Xaxim - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '1.040,00m2', 'Quartos', '3', 'Banheiros', '2', 'Suítes', '1', 'Andar', '2']","AluguelR$ 3.000,00",,,"Apartamento novo para locação no Bairro Xaxim, próximo a Linha Verde.   São 3 quartos sendo uma suíte, banheiro social, sala para dois ambientes com cozinha integrada, lavanderia e uma vaga coberta.  Com sacada.  Será entregue 100% finalizado com armários em todos os ambientes, inclusive cozinha planejada, armários na suíte principal e nos banheiros.   VALORES E CONDIÇÕES PARA LOCAÇÃO  - Aluguel Bruto + taxas (TCI - IPTU - Seguro incêndio)",Garagem Coberta,"Andar: 2, Ano de construção: 2023, Área de serviço: 1, Área privativa: 100, Área total: 1040, BWC Social: 2, BWC empregada: 1, Churrasqueiras: 1, Condomínio: Condominio José Rebelato, Cozinha com armários: 1, Cozinhas: 1, Face do imóvel: Norte, Interfone: sim, Núm de pavimentos: 2, Portão eletrônico: sim, Quartos: 3, Sacadas: 1, Salas: 2, Suítes: 1, Tipo de piso: Porcelanato, Vagas de garagem: 1, Zoneamento: SETOR ESPECIAL DA LINHA VERDE - 8 - S. SUL-ADB3"
Apartamento no 2º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-2-andar-com-3-quartos-bacacheri-curitiba/id/62673202/code/AP0387,"Rua Costa Rica, 770 - Bacacheri - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '162,00m2', 'Quartos', '3', 'Banheiros', '2', 'Suítes', '1', 'Andar', '2']","AluguelR$ 2.990,00","Condominio  R$ 778,00","IPTU  R$ 145,73","Lindo apartamento na melhor localização do bairro Bacacheri! Próximo ao Parque Bacacheri, Correios,  hipermercado Wallmart .   Sala para dois ambientes.  Sacada ampla e ensolarada.  Três dormitórios, sendo uma suíte.  Banheiro social com e box blindex.  Banheiro da suíte com armário e box blindex.  Cozinha com armários planejados.  Área de serviço com tanque e armário.  Dependência de empregada completa.  Aquecimento a gás.  Uma vaga de garagem coberta e individual.  Condomínio oferece;  Portão eletrônico.   Elevador.  Salão de festas.   Valor do aluguel bruto: R$ 3.737.50  Bonificação para pagamentos em dia: R$747,50  Valor liquido: R$ 2.990,00 + taxas   Os valores mencionados poderão ser alterados sem aviso prévio.  Agende uma visita com uma de nossas consultoras.",Garagem Coberta,"Andar: 2, Ano de construção: 2000, Área privativa: 139, Área total: 162, BWC Social: 2, BWC empregada: 1, Condomínio: Saint Patrick, Face do imóvel: Nenhum, IPTU: 145.73, Quartos: 3, Salas: 1, Suítes: 1, Vagas de garagem: 1, Valor condomínio: 778"
Apartamento no 6º andar com 3 quartos,https://cilar.com.br/alugar/apartamento-no-6-andar-com-3-quartos-alto-da-gloria-curitiba/id/61453837/code/AP0525,"Rua Floriano Essenfelder, 439 - Alto da Glória - Curitiba","['Características', 'do', 'imóvel', 'Área', 'Total', '132,00m2', 'Quartos', '3', 'Banheiros', '2', 'Suítes', '1', 'Andar', '6']","AluguelR$ 2.950,00","Condominio  R$ 1.052,35","IPTU  R$ 135,37","Apartamento com 3 dormitórios para alugar, 76 m² por R$ 2.950/mês - Alto da Glória - Curitiba/PR   Apartamento novo, amplo, bem arejado e com uma ótima iluminação natural, excelente localização, fácil acesso ao centro, próximo a vários pontos comerciais. Confira!   Bem localizado, com um espaço perfeito e muito charmoso:   - 3 quartos sendo 1 suíte;  - Sala para 03 ambientes , conceito aberto;  - Sacada com churrasqueira;  - Cozinha com armários;    - Área de serviço;  - Banheiro social e da suíte com box blindex e armários;  - 01 Vagas de garagem coberta ( Opção de locar mais 1 vaga de garagem com valor adicional de R$250,00 no aluguel)   Condomínio oferece: portaria remota, elevador e salão de festas.   6º andar , frente e lateral , Face : Leste/Oeste/Sul.    Localização: próximo a Feirinha do Alto da Glória, supermercados, Bar do Dante, farmácias e do comércio em geral.    PACOTE DE LOCAÇÃO.   *Aluguel bruto: R$ 3.687,50  *Bonificação: R$ 737,50  *Aluguel líquido: R$ 2.950,00  *Condomínio: R$ 1.052,35 (mensal)  *IPTU: R$ 135,37 (10 parcelas)  *FCI (Fundo de conservação do imóvel): R$ 147,50  *Seguro Incêndio: R$ 11,31 (12 Parcelas)  *Taxas com valores aproximados*   Entre em contato com nossa equipe, agende uma visita e confira! (41) 3353-2552.  Ref.: 02601-001.   Sobre o Fundo de Reserva e Fundo de Obras referente à taxa de condomínio: Os valores pagos pelo locatário são reembolsáveis.     Valores sujeitos a alterações sem aviso prévio.","Elevador, Garagem Coberta","Andar: 6, Área de serviço: 1, Área privativa: 76, Área total: 132, BWC Social: 2, BWC empregada: 1, Churrasqueiras: 1, Condomínio: Cayenne, Cozinha com armários: 1, Cozinhas: 1, Elevadores: 1, Face do imóvel: Oeste, IPTU: 135.37, Interfone: sim, Quartos: 3, Sacadas: 1, Salas: 1, Suítes: 1, Tipo de piso: Porcelanato, Vagas de garagem: 1, Valor condomínio: 1052.35"
